year,day_num,day,hours,AM,Date,Time,Temperature,Humidity,PM2.5,CO,NOx,Location,Aqi_PM,Aqi_CO,Aqi_NOx,PM2.5_prev_1,PM2.5_prev_2,CO_prev_1,CO_prev_2,NOx_prev_1,NOx_prev_2,TimeStamp
2021,28,7,14,0,2021-02-28,02:32:30pm,0.0,0.0,67,3.93,4.32,Faisal_Town,67,3,4,67,67,3,3,4,4,128792
2021,28,7,14,0,2021-02-28,02:32:46pm,0.0,0.0,67,4.59,4.76,Faisal_Town,67,4,4,67,67,4,4,4,4,128792
2021,28,7,14,0,2021-02-28,02:33:02pm,0.0,0.0,67,5.11,5.09,Faisal_Town,67,5,5,67,67,5,5,5,5,128793
2021,28,7,14,0,2021-02-28,02:33:17pm,0.0,0.0,67,4.51,4.71,Faisal_Town,67,4,4,67,67,4,4,4,4,128793
2021,28,7,14,0,2021-02-28,02:33:55pm,0.0,0.0,67,3.93,4.32,Faisal_Town,67,3,4,67,67,3,3,4,4,128793
2021,28,7,14,0,2021-02-28,02:41:30pm,0.0,0.0,49,14.42,9.77,Faisal_Town,49,14,9,49,49,14,14,9,9,128801
2021,28,7,14,0,2021-02-28,02:51:35pm,0.0,0.0,49,10.26,7.89,Faisal_Town,126,139,84,61,61,7,7,6,6,128811
2021,28,7,15,0,2021-02-28,03:04:47pm,0.0,0.0,43,9.82,7.68,Faisal_Town,119,150,89,57,57,8,8,6,6,128824
2021,28,7,15,0,2021-02-28,03:07:33pm,0.0,0.0,41,10.23,7.88,Faisal_Town,111,152,94,52,52,8,8,7,7,128827
2021,28,7,15,0,2021-02-28,03:17:39pm,0.0,0.0,41,12.03,8.72,Faisal_Town,104,155,101,48,48,10,10,7,7,128837
2021,28,7,15,0,2021-02-28,03:27:44pm,0.0,0.0,41,11.33,8.4,Faisal_Town,96,158,102,44,44,11,11,8,8,128847
2021,28,7,15,0,2021-02-28,03:37:49pm,0.0,0.0,41,26.43,14.3,Faisal_Town,93,162,103,42,42,13,13,9,9,128857
2021,28,7,15,0,2021-02-28,03:47:54pm,0.0,0.0,41,25.24,13.89,Faisal_Town,91,168,105,41,61,15,7,10,6,128867
2021,28,7,15,0,2021-02-28,03:58:00pm,0.0,0.0,41,16.82,10.76,Faisal_Town,91,170,106,41,57,17,8,10,6,128878
2021,28,7,16,0,2021-02-28,04:08:05pm,0.0,0.0,41,22.79,13.03,Faisal_Town,91,175,107,41,52,19,8,11,7,128888
2021,28,7,16,0,2021-02-28,04:18:10pm,0.0,0.0,41,14.11,9.64,Faisal_Town,91,176,107,41,48,19,10,11,7,128898
2021,28,7,16,0,2021-02-28,04:28:15pm,0.0,0.0,41,19.98,11.99,Faisal_Town,91,179,108,41,44,20,11,12,8,128908
2021,28,7,16,0,2021-02-28,04:38:21pm,0.0,0.0,41,19.6,11.85,Faisal_Town,91,177,108,41,42,19,13,11,9,128918
2021,28,7,16,0,2021-02-28,04:48:26pm,0.0,0.0,41,19.05,11.64,Faisal_Town,91,174,107,41,41,18,15,11,10,128928
2021,28,7,16,0,2021-02-28,04:58:31pm,0.0,0.0,41,24.32,13.57,Faisal_Town,91,177,108,41,41,19,17,11,10,128938
2021,28,7,17,0,2021-02-28,05:08:36pm,0.0,0.0,41,22.79,13.03,Faisal_Town,91,177,108,41,41,19,19,11,11,128948
2021,28,7,17,0,2021-02-28,05:18:42pm,0.0,0.0,41,28.44,14.97,Faisal_Town,91,182,109,41,41,22,19,12,11,128958
2021,28,7,17,0,2021-02-28,05:28:47pm,0.0,0.0,41,30.59,15.67,Faisal_Town,91,186,110,41,41,24,20,13,12,128968
2021,28,7,17,0,2021-02-28,05:48:52pm,0.0,0.0,41,35.64,17.25,Faisal_Town,91,192,112,41,41,26,19,14,11,128988
2021,28,7,18,0,2021-02-28,06:18:58pm,0.0,0.0,43,50.65,21.52,Faisal_Town,91,203,114,41,41,32,18,16,11,129018
2021,28,7,18,0,2021-02-28,06:43:47pm,0.0,0.0,67,8.13,6.82,Faisal_Town,98,198,112,45,41,29,19,14,11,129043
2021,28,7,18,0,2021-02-28,06:53:53pm,0.0,0.0,67,9.93,7.73,Faisal_Town,107,193,111,50,41,27,19,13,11,129053
2021,28,7,19,0,2021-02-28,07:03:58pm,0.0,0.0,67,12.69,9.02,Faisal_Town,114,187,109,54,41,24,22,13,12,129063
2021,28,7,19,0,2021-02-28,07:14:03pm,0.0,0.0,67,15.8,10.35,Faisal_Town,121,182,108,58,41,22,24,12,13,129074
2021,28,7,19,0,2021-02-28,07:24:09pm,0.0,0.0,67,5.74,5.48,Faisal_Town,129,171,105,63,41,17,26,10,14,129084
2021,28,7,19,0,2021-02-28,07:34:14pm,0.0,0.0,67,6.75,6.07,Faisal_Town,136,154,101,67,41,9,32,7,16,129094
2021,28,7,19,0,2021-02-28,07:44:19pm,0.0,0.0,67,5.83,5.54,Faisal_Town,136,154,98,67,45,9,29,7,14,129104
2021,28,7,19,0,2021-02-28,07:54:24pm,0.0,0.0,67,8.6,7.06,Faisal_Town,136,153,97,67,50,9,27,7,13,129114
2021,28,7,20,0,2021-02-28,08:04:30pm,0.0,0.0,67,6.7,6.04,Faisal_Town,136,151,91,67,54,8,24,6,13,129124
2021,28,7,20,0,2021-02-28,08:14:35pm,0.0,0.0,67,6.87,6.13,Faisal_Town,136,134,83,67,58,6,22,6,12,129134
2021,28,7,20,0,2021-02-28,08:24:41pm,0.0,0.0,67,7.38,6.42,Faisal_Town,136,137,85,67,63,7,17,6,10,129144
2021,28,7,21,0,2021-02-28,09:57:04pm,0.0,0.0,179,4.18,4.49,Faisal_Town,155,132,82,85,67,6,9,5,7,129237
2021,28,7,22,0,2021-02-28,10:07:09pm,0.0,0.0,179,3.57,4.07,Faisal_Town,165,127,79,104,67,6,9,5,7,129247
2021,28,7,23,0,2021-02-28,11:38:21pm,0.0,0.0,159,19.93,11.98,Faisal_Town,172,151,89,119,67,8,9,6,7,129338
2021,01,1,0,1,2021-03-01,12:12:52am,0.0,0.0,177,21.11,12.42,Faisal_Town,182,156,101,138,67,10,8,7,6,132852
2021,01,1,0,1,2021-03-01,12:22:57am,0.0,0.0,177,8.25,6.88,Faisal_Town,190,156,101,156,67,10,6,7,6,132862
2021,01,1,0,1,2021-03-01,12:33:02am,0.0,0.0,177,8.99,7.27,Faisal_Town,199,157,101,174,67,11,7,7,6,132873
2021,01,1,01,1,2021-03-01,01:13:08am,0.0,0.0,177,6.61,5.99,Faisal_Town,199,158,101,174,85,11,6,8,5,132913
