Date,Time,Temperature,Humidity,PM1,PM2.5,PM10,CO,NOx,Location
2021-02-28,02:32:30pm,nan,nan,40,67,77,3.93,4.32,Faisal_Town
2021-02-28,02:32:46pm,nan,nan,40,67,77,4.59,4.76,Faisal_Town
2021-02-28,02:33:02pm,nan,nan,40,67,77,5.11,5.09,Faisal_Town
2021-02-28,02:33:17pm,nan,nan,40,67,77,4.51,4.71,Faisal_Town
2021-02-28,02:33:55pm,nan,nan,39,67,77,3.93,4.32,Faisal_Town
2021-02-28,02:41:30pm,nan,nan,33,49,60,14.42,9.77,Faisal_Town
2021-02-28,02:51:35pm,nan,nan,33,49,60,10.26,7.89,Faisal_Town
2021-02-28,03:04:47pm,nan,nan,28,43,51,9.82,7.68,Faisal_Town
2021-02-28,03:07:33pm,nan,nan,28,41,47,10.23,7.88,Faisal_Town
2021-02-28,03:17:39pm,nan,nan,28,41,47,12.03,8.72,Faisal_Town
2021-02-28,03:27:44pm,nan,nan,28,41,47,11.33,8.40,Faisal_Town
2021-02-28,03:37:49pm,nan,nan,28,41,47,26.43,14.30,Faisal_Town
2021-02-28,03:47:54pm,nan,nan,28,41,47,25.24,13.89,Faisal_Town
2021-02-28,03:58:00pm,nan,nan,28,41,47,16.82,10.76,Faisal_Town
2021-02-28,04:08:05pm,nan,nan,28,41,47,22.79,13.03,Faisal_Town
2021-02-28,04:18:10pm,nan,nan,28,41,47,14.11,9.64,Faisal_Town
2021-02-28,04:28:15pm,nan,nan,28,41,47,19.98,11.99,Faisal_Town
2021-02-28,04:38:21pm,nan,nan,28,41,47,19.60,11.85,Faisal_Town
2021-02-28,04:48:26pm,nan,nan,28,41,47,19.05,11.64,Faisal_Town
2021-02-28,04:58:31pm,nan,nan,28,41,47,24.32,13.57,Faisal_Town
2021-02-28,05:08:36pm,nan,nan,28,41,47,22.79,13.03,Faisal_Town
2021-02-28,05:18:42pm,nan,nan,28,41,47,28.44,14.97,Faisal_Town
2021-02-28,05:28:47pm,nan,nan,28,41,47,30.59,15.67,Faisal_Town
2021-02-28,05:48:52pm,nan,nan,28,41,47,35.64,17.25,Faisal_Town
2021-02-28,06:18:58pm,nan,nan,29,43,50,50.65,21.52,Faisal_Town
2021-02-28,06:43:47pm,nan,nan,43,67,75,8.13,6.82,Faisal_Town
2021-02-28,06:53:53pm,nan,nan,43,67,75,9.93,7.73,Faisal_Town
2021-02-28,07:03:58pm,nan,nan,43,67,75,12.69,9.02,Faisal_Town
2021-02-28,07:14:03pm,nan,nan,43,67,75,15.80,10.35,Faisal_Town
2021-02-28,07:24:09pm,nan,nan,43,67,75,5.74,5.48,Faisal_Town
2021-02-28,07:34:14pm,nan,nan,43,67,75,6.75,6.07,Faisal_Town
2021-02-28,07:44:19pm,nan,nan,43,67,75,5.83,5.54,Faisal_Town
2021-02-28,07:54:24pm,nan,nan,43,67,75,8.60,7.06,Faisal_Town
2021-02-28,08:04:30pm,nan,nan,43,67,75,6.70,6.04,Faisal_Town
2021-02-28,08:14:35pm,nan,nan,43,67,75,6.87,6.13,Faisal_Town
2021-02-28,08:24:41pm,nan,nan,43,67,75,7.38,6.42,Faisal_Town
2021-02-28,09:57:04pm,nan,nan,105,179,197,4.18,4.49,Faisal_Town
2021-02-28,10:07:09pm,nan,nan,105,179,197,3.57,4.07,Faisal_Town
2021-02-28,11:38:21pm,nan,nan,91,159,166,19.93,11.98,Faisal_Town
2021-03-01,12:12:52am,nan,nan,106,177,184,21.11,12.42,Faisal_Town
2021-03-01,12:22:57am,nan,nan,106,177,184,8.25,6.88,Faisal_Town
2021-03-01,12:33:02am,nan,nan,106,177,184,8.99,7.27,Faisal_Town
2021-03-01,01:13:08am,nan,nan,106,177,184,6.61,5.99,Faisal_Town
2021-03-01,01:43:14am,nan,nan,106,177,184,6.88,6.14,Faisal_Town
2021-03-01,02:33:20am,nan,nan,106,177,184,5.64,5.42,Faisal_Town
2021-03-01,02:43:25am,nan,nan,106,177,184,5.46,5.31,Faisal_Town
2021-03-01,02:53:31am,nan,nan,106,177,184,5.21,5.15,Faisal_Town
2021-03-01,03:03:36am,nan,nan,106,180,186,6.51,5.93,Faisal_Town
2021-03-01,03:23:41am,nan,nan,106,180,186,7.87,6.68,Faisal_Town
2021-03-01,03:33:47am,nan,nan,106,180,186,6.72,6.05,Faisal_Town
2021-03-01,03:43:52am,nan,nan,106,180,186,7.16,6.29,Faisal_Town
2021-03-01,03:53:57am,nan,nan,106,180,186,9.80,7.67,Faisal_Town
2021-03-01,04:04:02am,nan,nan,106,180,186,7.22,6.33,Faisal_Town
2021-03-01,04:14:08am,nan,nan,106,180,186,5.87,5.56,Faisal_Town
2021-03-01,04:24:13am,nan,nan,106,180,186,4.96,5.00,Faisal_Town
2021-03-01,04:34:26am,nan,nan,154,281,309,3.92,4.31,Faisal_Town
2021-03-01,04:44:32am,nan,nan,154,281,309,4.05,4.40,Faisal_Town
2021-03-01,04:54:37am,nan,nan,154,281,309,3.70,4.16,Faisal_Town
