year,day_num,day,hours,AM,Temperature,Humidity,PM2.5,CO,NOx,Location,Aqi_PM,Aqi_CO,Aqi_NOx,PM2.5_prev_1,PM2.5_prev_2,CO_prev_1,CO_prev_2,NOx_prev_1,NOx_prev_2,TimeStamp
2021,21,7,13,0,29.2,45.0,156,4.06,4.41,ModelTown,156,4,4,156,156,4,4,4,4,118623
2021,21,7,13,0,29.2,45.0,157,14.33,9.73,ModelTown,157,14,9,157,157,14,14,9,9,118626
2021,21,7,13,0,29.6,44.0,157,3.15,3.76,ModelTown,157,3,3,157,157,3,3,3,3,118636
2021,21,7,13,0,30.2,41.0,157,6.91,6.16,ModelTown,157,6,6,157,157,6,6,6,6,118646
2021,21,7,13,0,30.1,41.0,157,2.49,3.25,ModelTown,157,2,3,157,157,2,2,3,3,118656
2021,21,7,13,0,30.0,41.0,157,2.4,3.17,ModelTown,157,2,3,157,157,2,2,3,3,118666
2021,21,7,13,0,29.7,42.0,157,2.67,3.38,ModelTown,191,116,71,157,157,5,5,4,4,118676
2021,21,7,14,0,29.6,42.0,157,3.33,3.9,ModelTown,191,86,60,157,157,3,3,3,3,118686
2021,21,7,14,0,29.6,43.0,157,2.52,3.27,ModelTown,191,84,59,157,157,3,3,3,3,118696
2021,21,7,14,0,30.0,42.0,157,1.69,2.54,ModelTown,191,61,52,157,157,2,2,3,3,118707
2021,21,7,14,0,29.6,42.0,157,1.96,2.79,ModelTown,191,59,51,157,157,2,2,3,3,118717
2021,21,7,14,0,29.8,42.0,157,1.44,2.3,ModelTown,191,55,150,157,157,2,2,3,3,118727
2021,21,7,14,0,29.7,41.0,157,2.59,3.32,ModelTown,191,54,150,157,157,2,5,3,4,118737
2021,21,7,15,0,29.9,40.0,157,1.81,2.66,ModelTown,191,161,46,157,157,2,3,2,3,118747
2021,21,7,15,0,29.5,41.0,157,2.85,3.53,ModelTown,191,161,47,157,157,2,3,2,3,118757
2021,21,7,15,0,29.1,42.0,157,2.49,3.25,ModelTown,191,53,49,157,157,2,2,2,3,118767
2021,21,7,15,0,29.3,42.0,157,2.57,3.31,ModelTown,191,55,150,157,157,2,2,3,3,118777
2021,21,7,15,0,29.3,42.0,157,3.13,3.74,ModelTown,191,63,53,157,157,2,2,3,3,118787
2021,21,7,15,0,28.8,41.0,157,4.04,4.39,ModelTown,191,69,55,157,157,2,2,3,3,118797
2021,21,7,16,0,28.5,42.0,157,3.72,4.17,ModelTown,191,77,58,157,157,3,2,3,2,118807
2021,21,7,16,0,28.4,42.0,157,4.15,4.47,ModelTown,191,83,59,157,157,3,2,3,2,118818
2021,21,7,16,0,28.2,42.0,157,5.91,5.58,ModelTown,191,97,64,157,157,3,2,4,2,118828
2021,21,7,16,0,28.1,43.0,157,4.11,4.44,ModelTown,191,101,66,157,157,4,2,4,3,118838
2021,21,7,16,0,28.4,43.0,157,3.49,4.01,ModelTown,191,102,66,157,157,4,2,4,3,118848
2021,21,7,16,0,28.1,43.0,157,3.79,4.22,ModelTown,191,102,66,157,157,4,2,4,3,118858
2021,21,7,17,0,28.0,43.0,157,3.89,4.29,ModelTown,191,102,66,157,157,4,3,4,3,118868
2021,21,7,17,0,27.9,44.0,157,4.04,4.39,ModelTown,191,102,66,157,157,4,3,4,3,118878
2021,21,7,17,0,27.0,46.0,213,3.94,4.32,ModelTown,195,96,64,166,157,3,3,4,4,118888
2021,21,7,17,0,27.0,46.0,0,4.67,4.82,ModelTown,183,99,64,140,157,3,4,4,4,118901
2021,21,7,17,0,27.0,46.0,0,8.38,6.95,ModelTown,170,109,70,114,157,4,4,4,4,118903
2021,21,7,17,0,26.5,49.0,0,3.99,4.36,ModelTown,156,110,70,87,157,4,4,4,4,118904
2021,21,7,17,0,26.6,49.0,201,3.29,3.86,ModelTown,160,108,69,95,157,4,4,4,4,118914
2021,21,7,18,0,26.2,49.0,201,3.53,4.04,ModelTown,164,107,69,102,157,4,4,4,4,118924
2021,21,7,18,0,26.0,49.0,201,3.85,4.27,ModelTown,163,107,69,100,166,4,3,4,4,118934
2021,21,7,18,0,25.8,50.0,201,3.85,4.27,ModelTown,180,105,67,134,140,4,3,4,4,118944
2021,21,7,18,0,25.8,51.0,201,7.4,6.42,ModelTown,196,103,66,167,114,4,4,4,4,118954
2021,21,7,18,0,25.4,52.0,201,5.79,5.51,ModelTown,223,107,69,201,87,4,4,4,4,118964
2021,21,7,18,0,25.3,53.0,201,7.21,6.32,ModelTown,223,115,73,201,95,5,4,5,4,118974
2021,21,7,19,0,25.2,53.0,201,8.59,7.06,ModelTown,223,126,79,201,102,6,4,5,4,118984
2021,21,7,19,0,25.1,54.0,201,9.41,7.47,ModelTown,223,137,85,201,100,7,4,6,4,118994
2021,21,7,19,0,24.9,55.0,201,15.79,10.35,ModelTown,223,153,96,201,134,9,4,7,4,119004
2021,21,7,19,0,24.8,55.0,201,10.55,8.03,ModelTown,223,154,99,201,167,9,4,7,4,119014
2021,21,7,19,0,24.7,56.0,201,11.44,8.45,ModelTown,223,156,101,201,201,10,4,7,4,119025
2021,21,7,19,0,24.6,57.0,201,13.89,9.55,ModelTown,223,158,102,201,201,11,5,8,5,119035
2021,21,7,20,0,24.5,57.0,201,12.11,8.76,ModelTown,223,160,102,201,201,12,6,8,5,119045
2021,21,7,20,0,24.4,58.0,201,11.35,8.41,ModelTown,223,160,103,201,201,12,7,8,6,119055
2021,21,7,20,0,24.3,58.0,201,12.01,8.71,ModelTown,223,159,102,201,201,11,9,8,7,119065
2021,21,7,20,0,24.3,58.0,309,10.73,8.12,ModelTown,238,159,102,219,201,11,9,8,7,119094
2021,21,7,21,0,24.0,61.0,309,2.79,3.48,ModelTown,254,156,101,237,201,10,10,7,7,119104
2021,21,7,21,0,24.2,60.0,309,2.29,3.08,ModelTown,269,151,91,255,201,8,11,6,8,119114
2021,21,7,21,0,24.2,60.0,309,2.13,2.94,ModelTown,284,135,80,273,201,6,12,5,8,119125
2021,21,7,21,0,24.1,60.0,309,2.47,3.23,ModelTown,299,117,71,291,201,5,12,4,8,119135
2021,21,7,21,0,24.0,60.0,309,2.57,3.31,ModelTown,313,95,61,309,201,3,11,4,8,119145
2021,21,7,21,0,24.1,61.0,309,2.59,3.33,ModelTown,313,60,52,309,219,2,11,3,8,119155
2021,21,7,22,0,23.6,61.0,309,2.61,3.34,ModelTown,313,59,52,309,237,2,10,3,7,119165
2021,21,7,22,0,23.7,61.0,309,3.05,3.68,ModelTown,313,63,53,309,255,2,8,3,6,119175
2021,21,7,22,0,23.4,62.0,309,3.07,3.7,ModelTown,313,67,54,309,273,2,6,3,5,119185
2021,21,7,22,0,23.5,62.0,309,3.12,3.74,ModelTown,313,69,55,309,291,2,5,3,4,119195
2021,21,7,22,0,23.5,62.0,309,2.7,3.41,ModelTown,313,70,55,309,309,2,3,3,4,119205
2021,21,7,22,0,23.5,62.0,309,2.61,3.34,ModelTown,313,70,55,309,309,2,2,3,3,119215
2021,21,7,23,0,23.2,63.0,309,3.12,3.74,ModelTown,313,72,56,309,309,2,2,3,3,119225
2021,21,7,23,0,23.2,63.0,309,5.0,5.02,ModelTown,313,81,59,309,309,3,2,3,3,119236
2021,21,7,23,0,23.1,63.0,309,4.81,4.9,ModelTown,313,88,61,309,309,3,2,4,3,119246
2021,21,7,23,0,23.0,64.0,309,5.04,5.05,ModelTown,313,96,63,309,309,3,2,4,3,119256
2021,21,7,23,0,22.7,64.0,310,4.27,4.55,ModelTown,313,101,65,309,309,4,2,4,3,119266
2021,21,7,23,0,22.8,64.0,310,3.85,4.26,ModelTown,313,104,67,309,309,4,2,4,3,119276
2021,22,1,0,1,22.6,64.0,310,5.58,5.38,ModelTown,313,109,70,309,309,4,2,4,3,119286
2021,22,1,0,1,22.5,64.0,310,4.2,4.5,ModelTown,313,107,69,309,309,4,3,4,3,119296
2021,22,1,0,1,22.3,64.0,310,3.85,4.26,ModelTown,313,105,68,309,309,4,3,4,4,119306
2021,22,1,0,1,22.5,64.0,310,3.73,4.18,ModelTown,313,102,66,310,309,4,3,4,4,119316
2021,22,1,0,1,22.3,65.0,310,4.23,4.53,ModelTown,313,102,66,310,309,4,4,4,4,119326
2021,22,1,0,1,22.1,65.0,310,4.3,4.57,ModelTown,313,103,67,310,309,4,4,4,4,119336
2021,22,1,01,1,22.1,65.0,310,3.88,4.28,ModelTown,313,164,65,310,309,4,4,4,4,119347
2021,22,1,01,1,22.1,65.0,314,3.97,4.34,ModelTown,313,99,65,310,309,3,4,4,4,119357
2021,22,1,01,1,22.1,65.0,314,4.65,4.8,ModelTown,314,101,66,311,309,4,4,4,4,119367
2021,22,1,06,1,21.0,64.0,349,3.24,3.82,ModelTown,318,164,65,317,310,4,4,4,4,119669
2021,22,1,06,1,21.2,63.0,349,3.67,4.14,ModelTown,323,98,64,324,310,3,4,4,4,119679
2021,22,1,06,1,20.0,65.0,349,2.27,3.06,ModelTown,327,90,61,330,310,3,4,4,4,119689
2021,22,1,07,1,20.2,67.0,349,3.16,3.76,ModelTown,332,86,60,337,310,3,4,3,4,119700
2021,22,1,07,1,20.1,67.0,349,2.74,3.44,ModelTown,336,81,59,343,310,3,3,3,4,119710
2021,22,1,07,1,20.0,68.0,349,2.67,3.39,ModelTown,340,73,56,349,311,2,4,3,4,119720
2021,22,1,07,1,20.1,68.0,349,2.78,3.48,ModelTown,340,71,55,349,317,2,4,3,4,119730
2021,22,1,07,1,20.2,69.0,349,2.69,3.4,ModelTown,340,66,54,349,324,2,3,3,4,119740
2021,22,1,07,1,20.6,69.0,349,2.67,3.39,ModelTown,340,68,55,349,330,2,3,3,4,119750
2021,22,1,08,1,20.8,69.0,349,3.46,3.99,ModelTown,340,69,55,349,337,2,3,3,3,119760
2021,22,1,08,1,21.2,68.0,349,3.95,4.34,ModelTown,340,75,57,349,343,3,3,3,3,119770
2021,22,1,08,1,21.4,66.0,349,3.89,4.29,ModelTown,340,80,58,349,349,3,2,3,3,119780
2021,22,1,08,1,21.3,66.0,351,4.7,4.83,ModelTown,340,88,61,349,349,3,2,4,3,119790
2021,22,1,08,1,21.5,66.0,351,5.18,5.14,ModelTown,340,99,64,349,349,3,2,4,3,119800
2021,22,1,08,1,22.2,66.0,351,4.7,4.83,ModelTown,341,103,67,350,349,4,2,4,3,119811
2021,22,1,09,1,22.4,65.0,351,5.44,5.3,ModelTown,341,107,69,350,349,4,2,4,3,119821
2021,22,1,09,1,22.9,64.0,351,4.22,4.52,ModelTown,341,108,70,350,349,4,3,4,3,119831
2021,22,1,09,1,23.1,63.0,351,3.73,4.18,ModelTown,341,108,69,351,349,4,3,4,3,119841
2021,22,1,09,1,23.2,63.0,351,3.49,4.01,ModelTown,341,105,68,351,349,4,3,4,4,119851
2021,22,1,09,1,24.4,58.0,351,2.41,3.17,ModelTown,341,99,64,351,349,3,3,4,4,119871
2021,22,1,10,1,25.4,54.0,358,3.95,4.33,ModelTown,342,96,63,352,350,3,4,4,4,119881
2021,22,1,10,1,25.5,54.0,358,5.29,5.2,ModelTown,343,96,63,353,350,3,4,4,4,119891
2021,22,1,10,1,25.6,51.0,358,5.67,5.44,ModelTown,343,164,65,354,350,4,4,4,4,119901
2021,22,1,10,1,26.5,50.0,358,2.57,3.31,ModelTown,344,97,63,355,351,3,4,4,4,119912
2021,22,1,10,1,26.8,48.0,358,2.3,3.08,ModelTown,345,92,62,356,351,3,4,4,4,119922
2021,22,1,10,1,27.6,47.0,358,5.24,5.18,ModelTown,346,101,65,358,351,4,3,4,4,119932
2021,22,1,11,1,28.2,43.0,358,2.87,3.55,ModelTown,346,99,64,358,352,3,3,4,4,119942
2021,22,1,11,1,28.4,41.0,358,2.3,3.08,ModelTown,346,86,60,358,353,3,3,3,4,119952
2021,22,1,11,1,29.2,40.0,358,2.01,2.83,ModelTown,346,71,55,358,354,2,4,3,4,119962
2021,22,1,11,1,29.2,38.0,358,2.36,3.14,ModelTown,346,70,55,358,355,2,3,3,4,119972
2021,22,1,11,1,29.6,37.0,358,2.5,3.25,ModelTown,346,71,55,358,356,2,3,3,4,119982
2021,22,1,11,1,29.9,37.0,358,10.69,8.1,ModelTown,346,94,60,358,358,3,4,3,4,119992
2021,22,1,12,0,30.0,38.0,358,3.95,4.33,ModelTown,346,99,62,358,358,3,3,4,4,120002
2021,22,1,12,0,30.3,37.0,358,5.38,5.26,ModelTown,346,105,66,358,358,4,3,4,3,120012
2021,22,1,13,0,31.9,32.0,358,2.85,3.53,ModelTown,346,107,67,358,358,4,2,4,3,120103
2021,22,1,13,0,31.4,32.0,358,5.24,5.18,ModelTown,346,113,71,358,358,5,2,4,3,120113
2021,22,1,14,0,29.7,36.0,358,6.08,5.68,ModelTown,346,121,76,358,358,5,2,5,3,120123
2021,22,1,14,0,29.7,37.0,358,2.85,3.53,ModelTown,346,104,67,358,358,4,3,4,3,120133
2021,22,1,14,0,30.4,35.0,140,3.91,4.3,ModelTown,321,104,67,321,358,4,3,4,4,120144
2021,22,1,14,0,30.5,35.0,140,5.46,5.31,ModelTown,294,104,67,285,358,4,4,4,4,120154
2021,22,1,14,0,30.5,33.0,140,4.84,4.93,ModelTown,264,108,70,249,358,4,4,4,4,120164
2021,22,1,14,0,30.5,34.0,140,4.09,4.43,ModelTown,232,106,68,212,358,4,5,4,4,120174
2021,22,1,15,0,30.5,33.0,140,6.09,5.69,ModelTown,202,106,68,176,358,4,5,4,5,120184
2021,22,1,15,0,30.7,34.0,140,5.56,5.37,ModelTown,183,112,72,140,358,4,4,5,4,120194
2021,22,1,20,0,30.7,34.0,0,65.01,25.17,ModelTown,171,166,102,116,321,15,4,8,4,120527
2021,22,1,20,0,30.7,34.0,0,4.45,4.67,ModelTown,159,166,102,93,285,15,4,8,4,120528
2021,22,1,20,0,30.7,34.0,0,10.21,7.87,ModelTown,141,168,103,70,249,15,4,8,4,120529
2021,22,1,20,0,22.2,63.0,219,1.31,2.17,ModelTown,154,167,102,83,212,15,4,8,4,120539
2021,22,1,21,0,24.3,59.0,219,1.0,1.83,ModelTown,161,165,101,96,176,14,4,7,4,120549
2021,22,1,21,0,24.5,58.0,219,0.93,1.75,ModelTown,167,163,97,109,140,13,4,7,5,120559
2021,22,1,21,0,24.6,57.0,219,0.97,1.79,ModelTown,185,77,53,146,116,3,15,3,8,120569
2021,22,1,21,0,24.5,56.0,219,1.34,2.2,ModelTown,207,64,48,182,93,2,15,2,8,120579
2021,22,1,21,0,24.3,57.0,219,1.16,2.01,ModelTown,238,27,32,219,70,1,15,1,8,120590
2021,22,1,22,0,24.2,58.0,219,0.91,1.72,ModelTown,238,26,31,219,83,1,15,1,8,120600
2021,22,1,22,0,24.3,58.0,219,0.92,1.74,ModelTown,238,25,31,219,96,1,14,1,7,120610
2021,22,1,22,0,24.2,58.0,219,0.92,1.74,ModelTown,238,25,31,219,109,1,13,1,7,120620
2021,22,1,22,0,24.3,58.0,219,0.84,1.64,ModelTown,238,25,30,219,146,1,3,1,3,120630
2021,22,1,22,0,24.3,58.0,219,0.68,1.43,ModelTown,238,22,28,219,182,0,2,1,2,120640
2021,22,1,22,0,24.2,58.0,219,0.8,1.6,ModelTown,238,21,27,219,219,0,1,1,1,120650
2021,22,1,23,0,24.0,58.0,219,1.32,2.18,ModelTown,238,22,28,219,219,0,1,1,1,120660
2021,22,1,23,0,23.7,58.0,219,1.89,2.73,ModelTown,238,26,31,219,219,1,1,1,1,120670
2021,22,1,23,0,23.7,58.0,219,1.77,2.61,ModelTown,238,30,33,219,219,1,1,2,1,120680
2021,22,1,23,0,23.7,58.0,219,1.63,2.49,ModelTown,238,33,36,219,219,1,1,2,1,120690
2021,22,1,23,0,23.6,58.0,219,1.39,2.25,ModelTown,238,36,38,219,219,1,0,2,1,120701
2021,22,1,23,0,23.4,58.0,217,1.34,2.2,ModelTown,237,38,40,218,219,1,0,2,1,120711
2021,23,2,0,1,23.6,58.0,217,0.75,1.52,ModelTown,237,36,38,218,219,1,0,2,1,120721
2021,23,2,0,1,23.2,58.0,217,0.5,1.18,ModelTown,237,30,34,218,219,1,1,2,1,120731
2021,23,2,0,1,23.5,58.0,217,0.41,1.04,ModelTown,237,25,29,217,219,1,1,1,2,120741
2021,23,2,0,1,23.6,58.0,217,0.58,1.3,ModelTown,237,20,26,217,219,0,1,1,2,120751
2021,23,2,0,1,23.3,58.0,217,0.57,1.28,ModelTown,237,17,23,217,219,0,1,1,2,120761
2021,23,2,0,1,23.2,59.0,217,0.55,1.25,ModelTown,237,13,21,217,218,0,1,1,2,120771
2021,23,2,01,1,23.0,59.0,217,0.5,1.18,ModelTown,237,12,20,217,218,0,1,1,2,120781
2021,23,2,01,1,23.0,59.0,217,0.52,1.21,ModelTown,237,13,20,217,218,0,1,1,2,120791
2021,23,2,01,1,22.9,59.0,207,3.97,4.35,ModelTown,235,27,29,215,217,1,1,1,1,120802
2021,23,2,01,1,22.9,59.0,207,4.17,4.49,ModelTown,233,42,38,213,217,1,0,2,1,120812
2021,23,2,01,1,23.0,59.0,207,3.5,4.02,ModelTown,232,53,45,212,217,2,0,2,1,120822
2021,23,2,01,1,22.7,59.0,207,2.76,3.46,ModelTown,231,63,51,210,217,2,0,3,1,120832
2021,23,2,02,1,22.7,59.0,207,2.56,3.3,ModelTown,229,71,55,208,217,2,0,3,1,120842
2021,23,2,02,1,22.9,59.0,207,2.51,3.26,ModelTown,228,80,58,207,217,3,0,3,1,120852
2021,23,2,02,1,22.7,59.0,207,3.09,3.71,ModelTown,228,76,57,207,215,3,1,3,1,120862
2021,23,2,02,1,22.6,59.0,207,2.45,3.21,ModelTown,228,69,55,207,213,2,1,3,2,120872
2021,23,2,02,1,22.5,60.0,207,2.65,3.37,ModelTown,228,65,54,207,212,2,2,3,2,120882
2021,23,2,02,1,22.1,59.0,207,2.33,3.11,ModelTown,228,63,53,207,210,2,2,3,3,120892
2021,23,2,03,1,22.6,59.0,207,2.02,2.85,ModelTown,228,61,52,207,208,2,2,3,3,120902
2021,23,2,03,1,22.1,60.0,207,1.21,2.06,ModelTown,228,55,150,207,207,2,3,3,3,120913
2021,23,2,03,1,22.1,60.0,207,1.43,2.29,ModelTown,228,161,46,207,207,2,3,2,3,120923
2021,23,2,03,1,22.0,61.0,207,1.41,2.27,ModelTown,228,46,44,207,207,1,2,2,3,120933
2021,23,2,03,1,21.9,61.0,207,1.47,2.33,ModelTown,228,41,41,207,207,1,2,2,3,120943
2021,23,2,03,1,21.8,62.0,207,1.69,2.55,ModelTown,228,38,39,207,207,1,2,2,3,120953
2021,23,2,04,1,21.8,61.0,207,1.79,2.63,ModelTown,228,37,39,207,207,1,2,2,3,120963
2021,23,2,04,1,21.8,61.0,207,1.61,2.46,ModelTown,228,39,40,207,207,1,2,2,3,120973
2021,23,2,04,1,21.9,61.0,207,1.36,2.22,ModelTown,228,38,40,207,207,1,2,2,2,120983
2021,23,2,04,1,21.8,61.0,207,1.21,2.06,ModelTown,228,38,39,207,207,1,1,2,2,120993
2021,23,2,04,1,21.5,61.0,207,1.22,2.07,ModelTown,228,37,38,207,207,1,1,2,2,121003
2021,23,2,04,1,21.6,62.0,207,1.26,2.11,ModelTown,228,35,37,207,207,1,1,2,2,121013
2021,23,2,05,1,21.3,62.0,207,1.22,2.07,ModelTown,228,32,36,207,207,1,1,2,2,121024
2021,23,2,05,1,21.6,62.0,207,1.23,2.09,ModelTown,228,31,35,207,207,1,1,2,2,121034
2021,23,2,05,1,21.6,62.0,207,1.22,2.07,ModelTown,228,30,34,207,207,1,1,2,2,121044
2021,23,2,05,1,21.3,64.0,207,1.03,1.87,ModelTown,228,29,34,207,207,1,1,2,2,121054
2021,23,2,05,1,21.6,64.0,207,3.88,4.29,ModelTown,228,41,40,207,207,1,1,2,2,121064
2021,23,2,05,1,21.6,64.0,207,4.57,4.75,ModelTown,228,53,47,207,207,2,1,2,2,121074
2021,23,2,06,1,21.6,64.0,207,4.69,4.83,ModelTown,228,68,53,207,207,2,1,3,2,121084
2021,23,2,06,1,21.1,64.0,207,4.61,4.77,ModelTown,228,82,58,207,207,3,1,3,2,121094
2021,23,2,06,1,21.4,65.0,207,4.49,4.69,ModelTown,228,96,63,207,207,3,1,4,2,121104
2021,23,2,06,1,21.6,64.0,207,3.85,4.26,ModelTown,228,104,67,207,207,4,1,4,2,121114
2021,23,2,06,1,21.6,64.0,207,4.86,4.94,ModelTown,228,106,68,207,207,4,1,4,2,121125
2021,23,2,06,1,21.5,65.0,207,5.32,5.22,ModelTown,228,107,69,207,207,4,2,4,2,121135
2021,23,2,07,1,21.4,65.0,207,6.01,5.64,ModelTown,228,110,71,207,207,4,2,4,3,121145
2021,23,2,07,1,21.6,65.0,207,5.46,5.31,ModelTown,228,112,72,207,207,4,3,5,3,121155
2021,23,2,07,1,20.9,70.0,207,5.76,5.49,ModelTown,228,114,73,207,207,5,3,5,4,121165
2021,23,2,07,1,21.5,69.0,207,5.0,5.02,ModelTown,228,117,75,207,207,5,4,5,4,121175
2021,23,2,07,1,21.5,68.0,207,6.12,5.7,ModelTown,228,119,76,207,207,5,4,5,4,121185
2021,23,2,07,1,21.6,67.0,207,8.42,6.97,ModelTown,228,126,79,207,207,6,4,5,4,121195
2021,23,2,08,1,21.6,67.0,207,8.94,7.24,ModelTown,228,132,82,207,207,6,4,5,4,121205
2021,23,2,08,1,22.3,65.0,207,9.81,7.67,ModelTown,228,141,87,207,207,7,4,6,5,121215
2021,23,2,08,1,22.0,65.0,207,11.21,8.34,ModelTown,228,151,92,207,207,8,5,6,5,121225
2021,23,2,08,1,22.2,64.0,207,11.79,8.61,ModelTown,228,153,99,207,207,9,5,7,5,121235
2021,23,2,08,1,22.3,64.0,207,7.03,6.22,ModelTown,228,154,150,207,207,9,5,7,5,121246
2021,23,2,08,1,22.4,63.0,207,10.4,7.96,ModelTown,228,154,101,207,207,9,6,7,5,121256
2021,23,2,09,1,23.1,62.0,207,8.86,7.2,ModelTown,228,154,101,207,207,9,6,7,5,121266
2021,23,2,09,1,23.5,60.0,207,11.4,8.43,ModelTown,228,155,101,207,207,10,7,7,6,121276
2021,23,2,09,1,24.2,59.0,207,10.66,8.09,ModelTown,228,155,101,207,207,10,8,7,6,121286
2021,23,2,09,1,24.7,58.0,207,7.41,6.43,ModelTown,228,153,98,207,207,9,9,7,7,121296
2021,23,2,09,1,24.8,57.0,207,5.96,5.61,ModelTown,228,153,97,207,207,9,9,7,7,121306
2021,23,2,09,1,25.9,55.0,207,4.45,4.67,ModelTown,228,151,91,207,207,8,9,6,7,121316
2021,23,2,10,1,27.0,52.0,170,3.86,4.27,ModelTown,222,141,86,200,207,7,9,6,7,121326
2021,23,2,10,1,27.0,52.0,170,4.64,4.79,ModelTown,217,126,79,194,207,6,10,5,7,121337
2021,23,2,10,1,27.3,50.0,170,5.03,5.05,ModelTown,212,115,73,188,207,5,10,5,7,121347
2021,23,2,10,1,27.6,49.0,170,6.41,5.87,ModelTown,207,113,72,182,207,5,9,5,7,121357
2021,23,2,10,1,28.2,46.0,170,7.44,6.45,ModelTown,202,116,74,176,207,5,9,5,7,121367
2021,23,2,10,1,29.2,44.0,170,6.29,5.81,ModelTown,197,119,76,170,207,5,8,5,6,121377
2021,23,2,11,1,29.3,42.0,170,5.17,5.13,ModelTown,197,122,77,170,200,5,7,5,6,121387
2021,23,2,11,1,30.0,39.0,170,4.39,4.63,ModelTown,197,122,77,170,194,5,6,5,5,121397
2021,23,2,11,1,29.6,38.0,170,5.46,5.31,ModelTown,197,123,78,170,188,5,5,5,5,121407
2021,23,2,11,1,30.6,36.0,170,3.35,3.91,ModelTown,197,116,74,170,182,5,5,5,5,121417
2021,23,2,11,1,31.8,36.0,170,9.23,7.38,ModelTown,197,120,76,170,176,5,5,5,5,121427
2021,23,2,11,1,29.5,41.0,170,1.97,2.8,ModelTown,197,111,70,170,170,4,5,4,5,121437
2021,23,2,12,0,31.8,34.0,170,3.2,3.8,ModelTown,197,107,68,170,170,4,5,4,5,121447
2021,23,2,12,0,30.7,35.0,170,2.83,3.51,ModelTown,197,104,66,170,170,4,5,4,5,121458
2021,23,2,12,0,31.2,33.0,170,2.83,3.51,ModelTown,197,97,62,170,170,3,5,4,5,121468
2021,23,2,12,0,31.1,32.0,170,3.14,3.75,ModelTown,197,96,62,170,170,3,5,4,5,121478
