Date,Time,Temperature,Humidity,PM1,PM2.5,PM10,CO,NOx,Location
2021-02-21,01:03:18pm,29.20,45.00,88,156,163,4.06,4.41,ModelTown
2021-02-21,01:06:20pm,nan,nan,91,157,167,14.33,9.73,ModelTown
2021-02-21,01:16:25pm,29.60,44.00,91,157,167,3.15,3.76,ModelTown
2021-02-21,01:26:31pm,30.20,41.00,91,157,167,6.91,6.16,ModelTown
2021-02-21,01:36:36pm,30.10,41.00,91,157,167,2.49,3.25,ModelTown
2021-02-21,01:46:42pm,30.00,41.00,91,157,167,2.40,3.17,ModelTown
2021-02-21,01:56:48pm,29.70,42.00,91,157,167,2.67,3.38,ModelTown
2021-02-21,02:06:53pm,29.60,42.00,91,157,167,3.33,3.90,ModelTown
2021-02-21,02:16:58pm,29.60,43.00,91,157,167,2.52,3.27,ModelTown
2021-02-21,02:27:03pm,30.00,42.00,91,157,167,1.69,2.54,ModelTown
2021-02-21,02:37:09pm,29.60,42.00,91,157,167,1.96,2.79,ModelTown
2021-02-21,02:47:14pm,29.80,42.00,91,157,167,1.44,2.30,ModelTown
2021-02-21,02:57:20pm,29.70,41.00,91,157,167,2.59,3.32,ModelTown
2021-02-21,03:07:25pm,29.90,40.00,91,157,167,1.81,2.66,ModelTown
2021-02-21,03:17:30pm,29.50,41.00,91,157,167,2.85,3.53,ModelTown
2021-02-21,03:27:35pm,29.10,42.00,91,157,167,2.49,3.25,ModelTown
2021-02-21,03:37:41pm,29.30,42.00,91,157,167,2.57,3.31,ModelTown
2021-02-21,03:47:46pm,29.30,42.00,91,157,167,3.13,3.74,ModelTown
2021-02-21,03:57:51pm,28.80,41.00,91,157,167,4.04,4.39,ModelTown
2021-02-21,04:07:57pm,28.50,42.00,91,157,167,3.72,4.17,ModelTown
2021-02-21,04:18:02pm,28.40,42.00,91,157,167,4.15,4.47,ModelTown
2021-02-21,04:28:07pm,28.20,42.00,91,157,167,5.91,5.58,ModelTown
2021-02-21,04:38:13pm,28.10,43.00,91,157,167,4.11,4.44,ModelTown
2021-02-21,04:48:18pm,28.40,43.00,91,157,167,3.49,4.01,ModelTown
2021-02-21,04:58:23pm,28.10,43.00,91,157,167,3.79,4.22,ModelTown
2021-02-21,05:08:28pm,28.00,43.00,91,157,167,3.89,4.29,ModelTown
2021-02-21,05:18:34pm,27.90,44.00,91,157,167,4.04,4.39,ModelTown
2021-02-21,05:28:47pm,27.00,46.00,115,213,226,3.94,4.32,ModelTown
2021-02-21,05:41:09pm,nan,nan,0,0,0,4.67,4.82,ModelTown
2021-02-21,05:43:43pm,nan,nan,0,0,0,8.38,6.95,ModelTown
2021-02-21,05:44:01pm,26.50,49.00,0,0,0,3.99,4.36,ModelTown
2021-02-21,05:54:07pm,26.60,49.00,119,201,201,3.29,3.86,ModelTown
2021-02-21,06:04:12pm,26.20,49.00,119,201,201,3.53,4.04,ModelTown
2021-02-21,06:14:17pm,26.00,49.00,119,201,201,3.85,4.27,ModelTown
2021-02-21,06:24:22pm,25.80,50.00,119,201,201,3.85,4.27,ModelTown
2021-02-21,06:34:28pm,25.80,51.00,119,201,201,7.40,6.42,ModelTown
2021-02-21,06:44:33pm,25.40,52.00,119,201,201,5.79,5.51,ModelTown
2021-02-21,06:54:38pm,25.30,53.00,119,201,201,7.21,6.32,ModelTown
2021-02-21,07:04:43pm,25.20,53.00,119,201,201,8.59,7.06,ModelTown
2021-02-21,07:14:49pm,25.10,54.00,119,201,201,9.41,7.47,ModelTown
2021-02-21,07:24:54pm,24.90,55.00,119,201,201,15.79,10.35,ModelTown
2021-02-21,07:34:59pm,24.80,55.00,119,201,201,10.55,8.03,ModelTown
2021-02-21,07:45:04pm,24.70,56.00,119,201,201,11.44,8.45,ModelTown
2021-02-21,07:55:10pm,24.60,57.00,119,201,201,13.89,9.55,ModelTown
2021-02-21,08:05:15pm,24.50,57.00,119,201,201,12.11,8.76,ModelTown
2021-02-21,08:15:20pm,24.40,58.00,119,201,201,11.35,8.41,ModelTown
2021-02-21,08:25:25pm,24.30,58.00,119,201,201,12.01,8.71,ModelTown
2021-02-21,08:54:48pm,nan,nan,161,309,338,10.73,8.12,ModelTown
2021-02-21,09:04:53pm,24.00,61.00,161,309,338,2.79,3.48,ModelTown
2021-02-21,09:14:59pm,24.20,60.00,161,309,338,2.29,3.08,ModelTown
2021-02-21,09:25:04pm,24.20,60.00,161,309,338,2.13,2.94,ModelTown
2021-02-21,09:35:09pm,24.10,60.00,161,309,338,2.47,3.23,ModelTown
2021-02-21,09:45:15pm,24.00,60.00,161,309,338,2.57,3.31,ModelTown
2021-02-21,09:55:20pm,24.10,61.00,161,309,338,2.59,3.33,ModelTown
2021-02-21,10:05:25pm,23.60,61.00,161,309,338,2.61,3.34,ModelTown
2021-02-21,10:15:31pm,23.70,61.00,161,309,338,3.05,3.68,ModelTown
2021-02-21,10:25:36pm,23.40,62.00,161,309,338,3.07,3.70,ModelTown
2021-02-21,10:35:41pm,23.50,62.00,161,309,338,3.12,3.74,ModelTown
2021-02-21,10:45:47pm,23.50,62.00,161,309,338,2.70,3.41,ModelTown
2021-02-21,10:55:52pm,23.50,62.00,161,309,338,2.61,3.34,ModelTown
2021-02-21,11:05:57pm,23.20,63.00,161,309,338,3.12,3.74,ModelTown
2021-02-21,11:16:02pm,23.20,63.00,161,309,338,5.00,5.02,ModelTown
2021-02-21,11:26:08pm,23.10,63.00,161,309,338,4.81,4.90,ModelTown
2021-02-21,11:36:13pm,23.00,64.00,161,309,338,5.04,5.05,ModelTown
2021-02-21,11:46:18pm,22.70,64.00,161,310,339,4.27,4.55,ModelTown
2021-02-21,11:56:23pm,22.80,64.00,161,310,339,3.85,4.26,ModelTown
2021-02-22,12:06:29am,22.60,64.00,161,310,339,5.58,5.38,ModelTown
2021-02-22,12:16:34am,22.50,64.00,161,310,339,4.20,4.50,ModelTown
2021-02-22,12:26:39am,22.30,64.00,161,310,339,3.85,4.26,ModelTown
2021-02-22,12:36:45am,22.50,64.00,161,310,339,3.73,4.18,ModelTown
2021-02-22,12:46:50am,22.30,65.00,161,310,339,4.23,4.53,ModelTown
2021-02-22,12:56:55am,22.10,65.00,161,310,339,4.30,4.57,ModelTown
2021-02-22,01:07:00am,22.10,65.00,161,310,339,3.88,4.28,ModelTown
2021-02-22,01:17:14am,22.10,65.00,167,314,340,3.97,4.34,ModelTown
2021-02-22,01:27:19am,22.10,65.00,167,314,340,4.65,4.80,ModelTown
2021-02-22,06:29:47am,21.00,64.00,171,349,384,3.24,3.82,ModelTown
2021-02-22,06:39:52am,21.20,63.00,171,349,384,3.67,4.14,ModelTown
2021-02-22,06:49:57am,20.00,65.00,171,349,384,2.27,3.06,ModelTown
2021-02-22,07:00:02am,20.20,67.00,171,349,384,3.16,3.76,ModelTown
2021-02-22,07:10:08am,20.10,67.00,171,349,384,2.74,3.44,ModelTown
2021-02-22,07:20:13am,20.00,68.00,171,349,384,2.67,3.39,ModelTown
2021-02-22,07:30:18am,20.10,68.00,171,349,384,2.78,3.48,ModelTown
2021-02-22,07:40:23am,20.20,69.00,171,349,384,2.69,3.40,ModelTown
2021-02-22,07:50:29am,20.60,69.00,171,349,384,2.67,3.39,ModelTown
2021-02-22,08:00:34am,20.80,69.00,171,349,384,3.46,3.99,ModelTown
2021-02-22,08:10:39am,21.20,68.00,171,349,384,3.95,4.34,ModelTown
